Date,Arizona,California,Florida,Illinois,Michigan,New York,Texas,Colorado
2005-10-01,-0.832273945158649,-0.8134681425543933,-1.1016239840866955,-0.6743843984301152,-0.3418580368053009,-0.7278694287458073,-0.3065684130298222,-0.27268764580253413
2005-11-01,-0.8811912709149123,-0.8541603886849509,-1.1432164994795861,-0.7253704082519228,-0.3035585886984828,-0.7278694287458073,-0.3065684130298222,-0.27268764580253413
2005-12-01,-0.8811912709149123,-0.894852634815509,-1.1432164994795861,-0.7763564180737309,-0.265259140591665,-0.7939004227017475,-0.38410796480317266,-0.3265272541145516
2006-01-01,-0.8811912709149123,-0.9355448809460668,-1.1848090148724764,-0.8783284377173466,-0.265259140591665,-0.8599314166576885,-0.38410796480317266,-0.3803668624265695
2006-02-01,-0.9301085966711756,-0.9355448809460668,-1.1848090148724764,-0.9803004573609618,-0.22695969248484688,-0.8599314166576885,-0.46164751657652386,-0.3803668624265695
2006-03-01,-0.9301085966711756,-0.9762371270766245,-1.2264015302653668,-1.03128646718277,-0.22695969248484688,-0.9259624106136287,-0.46164751657652386,-0.4342064707385869
2006-04-01,-0.9301085966711756,-0.9762371270766245,-1.1848090148724764,-1.1332584868263855,-0.1886602443780291,-0.9259624106136287,-0.46164751657652386,-0.4342064707385869
2006-05-01,-0.9790259224274394,-0.9762371270766245,-1.1848090148724764,-1.1332584868263855,-0.1886602443780291,-0.9259624106136287,-0.46164751657652386,-0.4880460790506044
2006-06-01,-0.9790259224274394,-0.9762371270766245,-1.1848090148724764,-1.184244496648193,-0.15036079627121132,-0.9259624106136287,-0.5391870683498744,-0.4880460790506044
2006-07-01,-1.0279432481837028,-0.9762371270766245,-1.1848090148724764,-1.2352305064700007,-0.15036079627121132,-0.9919934045695695,-0.5391870683498744,-0.4880460790506044
2006-08-01,-1.0279432481837028,-0.9762371270766245,-1.1432164994795861,-1.2352305064700007,-0.15036079627121132,-1.0580243985255098,-0.6167266201232249,-0.5418856873626223
2006-09-01,-1.0768605739399664,-0.9762371270766245,-1.1432164994795861,-1.2862165162918089,-0.15036079627121132,-1.12405539248145,-0.7718057236699265,-0.5957252956746397
2006-10-01,-1.1257778996962298,-0.9762371270766245,-1.1432164994795861,-1.2352305064700007,-0.15036079627121132,-1.1900863864373907,-0.8493452754432778,-0.6495649039866577
2006-11-01,-1.1257778996962298,-0.9762371270766245,-1.1432164994795861,-1.2352305064700007,-0.1886602443780291,-1.1900863864373907,-0.9268848272166282,-0.7572441206106928
2006-12-01,-1.1746952254524932,-0.9762371270766245,-1.1016239840866955,-1.2352305064700007,-0.1886602443780291,-1.256117380393331,-1.0044243789899787,-0.8110837289227104
2007-01-01,-1.1746952254524932,-0.9762371270766245,-1.1016239840866955,-1.184244496648193,-0.22695969248484688,-1.256117380393331,-1.0044243789899787,-0.8649233372347279
2007-02-01,-1.2236125512087568,-0.9355448809460668,-1.060031468693805,-1.1332584868263855,-0.265259140591665,-1.1900863864373907,-1.08196393076333,-0.8649233372347279
2007-03-01,-1.2236125512087568,-0.894852634815509,-1.0184389533009146,-1.1332584868263855,-0.265259140591665,-1.1900863864373907,-1.08196393076333,-0.9187629455467455
2007-04-01,-1.27252987696502,-0.894852634815509,-0.9768464379080241,-1.0822724770045775,-0.265259140591665,-1.12405539248145,-1.1595034825366803,-0.9726025538587633
2007-05-01,-1.27252987696502,-0.8541603886849509,-0.9352539225151338,-1.03128646718277,-0.265259140591665,-1.0580243985255098,-1.1595034825366803,-0.9726025538587633
2007-06-01,-1.3214472027212836,-0.8134681425543933,-0.8936614071222433,-0.9803004573609618,-0.22695969248484688,-1.0580243985255098,-1.1595034825366803,-0.9187629455467455
2007-07-01,-1.3214472027212836,-0.7727758964238352,-0.8520688917293529,-0.9293144475391542,-0.1886602443780291,-0.9919934045695695,-1.1595034825366803,-0.9187629455467455
2007-08-01,-1.27252987696502,-0.7320836502932774,-0.7688838609435719,-0.8783284377173466,-0.15036079627121132,-0.9259624106136287,-1.08196393076333,-0.8649233372347279
2007-09-01,-1.2236125512087568,-0.6913914041627196,-0.7272913455506815,-0.8273424278955385,-0.11206134816439321,-0.9259624106136287,-1.08196393076333,-0.8110837289227104
2007-10-01,-1.1746952254524932,-0.6506991580321615,-0.6856988301577909,-0.7763564180737309,-0.07376190005757544,-0.8599314166576885,-1.08196393076333,-0.7572441206106928
2007-11-01,-1.0768605739399664,-0.6100069119016038,-0.6025137993720102,-0.7253704082519228,-0.11206134816439321,-0.8599314166576885,-1.08196393076333,-0.7034045122986751
2007-12-01,-0.9790259224274394,-0.5693146657710457,-0.5609212839791196,-0.7253704082519228,-0.11206134816439321,-0.8599314166576885,-1.08196393076333,-0.6495649039866577
2008-01-01,-0.8811912709149123,-0.528622419640488,-0.5193287685862293,-0.7253704082519228,-0.15036079627121132,-0.8599314166576885,-1.08196393076333,-0.6495649039866577
2008-02-01,-0.7833566194023853,-0.48793017350993023,-0.4361437378004483,-0.6743843984301152,-0.15036079627121132,-0.7939004227017475,-1.08196393076333,-0.5957252956746397
2008-03-01,-0.636604642133595,-0.4472379273793722,-0.35295870701466736,-0.6233983886083075,-0.11206134816439321,-0.7939004227017475,-1.08196393076333,-0.5418856873626223
2008-04-01,-0.4898526648648047,-0.3251611889876986,-0.26977367622888637,-0.5724123787864995,-0.07376190005757544,-0.7278694287458073,-1.0044243789899787,-0.4880460790506044
2008-05-01,-0.34310068759601436,-0.24377669672658275,-0.14499613005021508,-0.47044035914288385,0.0028369961560604628,-0.661838434789867,-0.9268848272166282,-0.4342064707385869
2008-06-01,-0.19634871032722362,-0.1216999583349092,-0.020218583871543804,-0.3684683394992686,0.11773534047651414,-0.5958074408339262,-0.8493452754432778,-0.3265272541145516
2008-07-01,-0.0006794073021699977,0.00037678005676436324,0.10455896230712748,-0.2664963198556529,0.19433423669015004,-0.46374545292204516,-0.694266171896576,-0.2188480374905162
2008-08-01,0.14607256996662032,0.12245351844843792,0.27092902387868945,-0.16452430021203726,0.27093313290378557,-0.3977144589661049,-0.6167266201232249,-0.16500842917849878
2008-09-01,0.29282454723541107,0.24453025684011184,0.3957065700573607,-0.06255228056842156,0.3475320291174218,-0.2656524710542238,-0.46164751657652386,-0.05732921255446341
2008-10-01,0.4884938502604647,0.4072992413623435,0.5620766316289226,0.03941973907519412,0.5007298215446936,-0.06755948918640246,-0.3065684130298222,0.05035000406957194
2008-11-01,0.6352458275292551,0.5700682258845744,0.7284466932004843,0.243363778362425,0.6922270620787832,0.13053349268141887,-0.07394975770977003,0.15802922069360684
2008-12-01,0.8309151305543091,0.7735294565373638,0.9364092701649369,0.498293827471464,0.8837243026128727,0.3946574685051811,0.08112934583693165,0.3195480456296601
2009-01-01,1.0265844335793632,0.9769906871901533,1.144371847129389,0.7532238765805034,1.3050182317878696,0.6587814443289426,0.3137480011569838,0.427227262253695
2009-02-01,1.2222537366044173,1.1397596717123848,1.3523344240938413,1.05913993551135,1.7263121609628667,0.9229054201527048,0.4688271047036855,0.5887460871897483
2009-03-01,1.369005713873207,1.3025286562346166,1.5602970010582937,1.314069984620389,2.071007193924228,1.1209984020205261,0.6239062082503872,0.750264912125801
2009-04-01,1.5157576911419979,1.4246053946262904,1.6850745472369646,1.5180140239076203,2.339103330671953,1.3190913838883476,0.7014457600237377,0.9117837370618539
2009-05-01,1.6625096684107876,1.505989886887406,1.8098520934156361,1.7219580631948508,2.5689000193128604,1.4511533718002292,1.4768412777572453,1.0194629536858892
2009-06-01,1.760344319923315,1.5873743791485213,1.8514446088085266,1.823930082838467,2.722097811740132,1.5171843657561694,1.7869994848506487,1.1271421703099245
2009-07-01,1.907096297192105,1.6687588714096375,1.934629639594307,1.8749160926602746,2.6837983636333145,1.5832153597121097,1.9420785883973497,1.180981778621942
2009-08-01,2.0049309487046325,1.7094511175401954,1.976222154987198,1.9768881123038897,2.6454989155264967,1.7152773476239902,2.0196181401707016,1.2348213869339595
2009-09-01,2.1027656002171593,1.7908356098013107,2.0178146703800883,2.027874122125698,2.5689000193128604,1.7813083415799316,2.0196181401707016,1.2886609952459773
2009-10-01,2.2006002517296865,1.8315278559318693,2.0594071857729785,2.1298461417693137,2.5306005712060426,1.7813083415799316,2.0196181401707016,1.3425006035579947
2009-11-01,2.2495175774859497,1.872220102062427,2.1425922165587594,2.180832151591121,2.492301123099225,1.8473393355358718,2.0196181401707016,1.4501798201820302
2009-12-01,2.2495175774859497,1.9536045943235425,2.1425922165587594,2.282804171234737,2.454001674992407,1.8473393355358718,2.0196181401707016,1.557859036806065
2010-01-01,2.2495175774859497,1.9942968404541002,2.1841847319516505,2.282804171234737,2.454001674992407,1.8473393355358718,2.0196181401707016,1.6116986451180835
2010-02-01,2.2006002517296865,1.9942968404541002,2.1425922165587594,2.282804171234737,2.377402778778771,1.7813083415799316,2.0196181401707016,1.7193778617421183
2010-03-01,2.1516829259734225,2.0349890865846585,2.1425922165587594,2.180832151591121,2.3008038825651353,1.7813083415799316,2.0196181401707016,1.7732174700541357
2010-04-01,2.1027656002171593,1.9942968404541002,2.100999701165869,2.027874122125698,2.1859055382446813,1.7152773476239902,1.9420785883973497,1.8270570783661533
2010-05-01,2.0049309487046325,1.9942968404541002,2.0594071857729785,1.9259021024820822,2.071007193924228,1.64924635366805,1.8645390366239991,1.8270570783661533
2010-06-01,1.9560136229483693,1.9942968404541002,2.0178146703800883,1.7729440730166592,1.956108849603774,1.5832153597121097,1.7869994848506487,1.8270570783661533
2010-07-01,1.907096297192105,1.9942968404541002,2.0178146703800883,1.6709720533730432,1.8412105052833205,1.5832153597121097,1.7869994848506487,1.8808966866781716
2010-08-01,1.907096297192105,1.9942968404541002,2.0594071857729785,1.6199860435512357,1.7646116090696844,1.5832153597121097,1.7869994848506487,1.8808966866781716
2010-09-01,1.8581789714358419,1.9942968404541002,2.0594071857729785,1.5690000337294279,1.7263121609628667,1.5832153597121097,1.8645390366239991,1.934736294990189
2010-10-01,1.8581789714358419,2.0349890865846585,2.0594071857729785,1.5180140239076203,1.649713264749231,1.5832153597121097,1.8645390366239991,1.934736294990189
2010-11-01,1.8092616456795785,2.0349890865846585,2.0594071857729785,1.4670280140858118,1.5731143685355948,1.5171843657561694,1.8645390366239991,1.934736294990189
2010-12-01,1.760344319923315,1.9942968404541002,1.976222154987198,1.3650559944421967,1.4582160242151414,1.5171843657561694,1.8645390366239991,1.934736294990189
2011-01-01,1.711426994167052,1.9536045943235425,1.934629639594307,1.314069984620389,1.3433176798946875,1.4511533718002292,1.7869994848506487,1.8808966866781716
2011-02-01,1.6625096684107876,1.9129123481929848,1.8514446088085266,1.314069984620389,1.2667187836810518,1.3851223778442878,1.7094599330772982,1.8270570783661533
2011-03-01,1.6625096684107876,1.872220102062427,1.8098520934156361,1.314069984620389,1.2284193355742334,1.3190913838883476,1.7094599330772982,1.7193778617421183
2011-04-01,1.6625096684107876,1.8315278559318693,1.768259578022746,1.3650559944421967,1.1901198874674157,1.3190913838883476,1.7094599330772982,1.6655382534301009
2011-05-01,1.6625096684107876,1.8315278559318693,1.7266670626298548,1.4670280140858118,1.1901198874674157,1.3190913838883476,1.7094599330772982,1.6116986451180835
2011-06-01,1.6625096684107876,1.8315278559318693,1.7266670626298548,1.5690000337294279,1.1901198874674157,1.3851223778442878,1.7094599330772982,1.6116986451180835
2011-07-01,1.6625096684107876,1.8315278559318693,1.6850745472369646,1.6199860435512357,1.1901198874674157,1.4511533718002292,1.7094599330772982,1.6116986451180835
2011-08-01,1.6135923426545244,1.7908356098013107,1.601889516451184,1.6709720533730432,1.151820439360598,1.4511533718002292,1.6319203813039471,1.557859036806065
2011-09-01,1.5157576911419979,1.750143363670753,1.5187044856654026,1.6199860435512357,1.0369220950401439,1.5171843657561694,1.5543808295305965,1.557859036806065
2011-10-01,1.4179230396294704,1.7094511175401954,1.435519454879622,1.5690000337294279,0.9603231988265083,1.5832153597121097,1.4768412777572453,1.557859036806065
2011-11-01,1.3200883881169438,1.6280666252790799,1.3523344240938413,1.4160420042640043,0.8454248545060543,1.5832153597121097,1.3217621742105443,1.557859036806065
2011-12-01,1.2222537366044173,1.5873743791485213,1.26914939330806,1.314069984620389,0.730526510185601,1.64924635366805,1.1666830706638427,1.557859036806065
2012-01-01,1.173336410848153,1.505989886887406,1.1859643625222793,1.1611119551549653,0.6539276139719647,1.64924635366805,1.0891435188904914,1.557859036806065
2012-02-01,1.173336410848153,1.465297640756848,1.144371847129389,1.1101259453331576,0.6156281658651469,1.64924635366805,1.011603967117141,1.5040194284940476
2012-03-01,1.1244190850918898,1.4246053946262904,1.102779331736498,1.05913993551135,0.6156281658651469,1.7152773476239902,0.9340644153437905,1.5040194284940476
2012-04-01,1.1244190850918898,1.383913148495732,1.102779331736498,1.05913993551135,0.6539276139719647,1.7152773476239902,0.9340644153437905,1.5040194284940476
